Fecha,Tipo_Ejercicio,Cantidad,Peso,RPE_Esfuerzo
2026-04-30 14:09:00.000000,Flexiones,5,,
2026-06-16 18:46:42.622753,Flexiones,5,,7.0
2026-06-16 18:46:43.786277,Plancha,20,,7.0
2026-06-16 18:46:52.457005,Flexiones,5,,7.0
2026-06-16 18:46:53.541931,Plancha,20,,7.0
2026-06-16 18:46:55.944399,Flexiones,5,,7.0
2026-06-16 18:46:56.892271,Plancha,20,,7.0
